REF_DATE,GEO,DGUID,Flowers and plants,Output,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2008,Prince Edward Island,2016A000211,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221166,3.5.1,94600,E,,,0
2008,Prince Edward Island,2016A000211,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221177,3.5.2,68800,E,,,0
2008,Nova Scotia,2016A000212,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221079,4.1.1,,F,,,0
2008,Nova Scotia,2016A000212,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221090,4.1.2,,F,,,0
2008,Nova Scotia,2016A000212,Total cuttings [1151433],Production (number),Number,223,units,0,v52221101,4.2.1,0,,,,0
2008,Nova Scotia,2016A000212,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221112,4.2.2,0,,,,0
2008,Nova Scotia,2016A000212,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221123,4.3.1,,F,,,0
2008,Nova Scotia,2016A000212,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221134,4.3.2,,F,,,0
2008,Nova Scotia,2016A000212,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221145,4.4.1,,x,,,0
2008,Nova Scotia,2016A000212,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221156,4.4.2,3071100,,,,0
2008,Nova Scotia,2016A000212,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221167,4.5.1,,x,,,0
2008,Nova Scotia,2016A000212,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221178,4.5.2,519700,,,,0
2008,New Brunswick,2016A000213,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221080,5.1.1,2607545,,,,0
2008,New Brunswick,2016A000213,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221091,5.1.2,10680600,E,,,0
2008,New Brunswick,2016A000213,Total cuttings [1151433],Production (number),Number,223,units,0,v52221102,5.2.1,,x,,,0
2008,New Brunswick,2016A000213,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221113,5.2.2,,x,,,0
2008,New Brunswick,2016A000213,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221124,5.3.1,,x,,,0
2008,New Brunswick,2016A000213,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221135,5.3.2,,x,,,0
2008,New Brunswick,2016A000213,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221146,5.4.1,,x,,,0
2008,New Brunswick,2016A000213,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221157,5.4.2,12441900,,,,0
2008,New Brunswick,2016A000213,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221168,5.5.1,,x,,,0
2008,New Brunswick,2016A000213,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221179,5.5.2,1641500,,,,0
2008,Quebec,2016A000224,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221081,6.1.1,43453240,,,,0
2008,Quebec,2016A000224,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221092,6.1.2,107121000,,,,0
2008,Quebec,2016A000224,Total cuttings [1151433],Production (number),Number,223,units,0,v52221103,6.2.1,,F,,,0
2008,Quebec,2016A000224,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221114,6.2.2,,x,,,0
2008,Quebec,2016A000224,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221125,6.3.1,,F,,,0
2008,Quebec,2016A000224,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221136,6.3.2,,F,,,0
2008,Quebec,2016A000224,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221147,6.4.1,91498400,,,,0
2008,Quebec,2016A000224,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221158,6.4.2,38184900,,,,0
2008,Quebec,2016A000224,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221169,6.5.1,,F,,,0
2008,Quebec,2016A000224,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221180,6.5.2,14500000,,,,0
2008,Ontario,2016A000235,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221082,7.1.1,113157924,,,,0
2008,Ontario,2016A000235,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221093,7.1.2,326819900,,,,0
2008,Ontario,2016A000235,Total cuttings [1151433],Production (number),Number,223,units,0,v52221104,7.2.1,23818730,,,,0
2008,Ontario,2016A000235,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221115,7.2.2,16305990,,,,0
2008,Ontario,2016A000235,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221126,7.3.1,154923520,,,,0
2008,Ontario,2016A000235,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221137,7.3.2,75792100,,,,0
2008,Ontario,2016A000235,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221148,7.4.1,222541110,,,,0
2008,Ontario,2016A000235,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221159,7.4.2,78948600,,,,0
2008,Ontario,2016A000235,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221170,7.5.1,302935286,,,,0
2008,Ontario,2016A000235,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221181,7.5.2,26032550,,,,0
2008,Manitoba,2016A000246,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221083,8.1.1,,F,,,0
